2013-04-10 03:57:03.667 PM	****** Start Logging ******
2013-04-10 03:57:03.683 PM	FormScheduller_Load	Start Scheduller
2013-04-10 03:57:03.683 PM	cutoffscheduller	Start Cutoff
2013-04-10 03:57:03.698 PM	dowork	Email was not sent. If you want to send this Email, Please Update "Email Sent Status To Logistics" in System Parameters, set the value to False.
2013-04-10 03:57:03.698 PM	cutoffscheduller	End Cutoff
2013-04-10 03:57:03.698 PM	reminderscheduller	Start Reminder
2013-04-10 03:57:03.714 PM	DoWork	Nothing to send.
2013-04-10 03:57:03.730 PM	reminderscheduller	End Reminder
2013-04-10 03:57:03.745 PM	orderCollectionscheduller	Start OrderCollection
2013-04-10 03:57:03.761 PM	DoWork	Nothing to send.
2013-04-10 03:57:03.761 PM	orderCollectionscheduller	End OrderCollection
2013-04-10 03:57:03.761 PM	FormScheduller_Load	End Scheduller
2013-04-18 12:37:40.105 PM	FormScheduller_Load	Start Scheduller
2013-04-18 12:37:40.136 PM	cutoffscheduller	Start Cutoff
2013-04-18 12:37:40.183 PM	dowork	Email was not sent. If you want to send this Email, Please Update "Email Sent Status To Logistics" in System Parameters, set the value to False.
2013-04-18 12:37:40.183 PM	cutoffscheduller	End Cutoff
2013-04-18 12:37:40.183 PM	reminderscheduller	Start Reminder
2013-04-18 12:37:40.214 PM	DoWork	Nothing to send.
2013-04-18 12:37:40.214 PM	reminderscheduller	End Reminder
2013-04-18 12:37:40.214 PM	orderCollectionscheduller	Start OrderCollection
2013-04-18 12:37:40.246 PM	DoWork	Nothing to send.
2013-04-18 12:37:40.246 PM	orderCollectionscheduller	End OrderCollection
2013-04-18 12:37:40.246 PM	FormScheduller_Load	End Scheduller
2013-04-25 04:11:53.397 PM	DoWork	bs.Filter =
2013-06-11 08:50:54.734 AM	FormSendQtyToGSHK_Load	Start Cutoff
2013-06-11 08:55:44.734 AM	FormSendQtyToGSHK_Load	Start Cutoff
2013-06-11 09:03:49.250 AM	docutoff	Send Mail success
2013-06-11 09:03:49.265 AM	FormSendQtyToGSHK_Load	Finish Cutoff
2013-06-11 10:52:35.923 AM	FormScheduller_Load	Start Scheduller
2013-06-11 10:52:35.954 AM	cutoffscheduller	Start Cutoff
2013-06-11 10:53:09.242 AM	dowork	Email was not sent. If you want to send this Email, Please Update "Email Sent Status To Logistics" in System Parameters, set the value to False.
2013-06-11 10:53:09.242 AM	cutoffscheduller	End Cutoff
2013-06-11 10:53:09.242 AM	reminderscheduller	Start Reminder
